Machine,Period,Items
1,1,"Item_31, Item_37, Item_38"
1,2,"Item_1, Item_2, Item_3"
1,3,"Item_1, Item_2, Item_3"
1,4,"Item_1, Item_2, Item_3"
1,5,"Item_1, Item_2, Item_3"
1,6,"Item_1, Item_2, Item_3"
1,7,"Item_1, Item_2, Item_3"
1,8,"Item_1, Item_2, Item_3"
1,9,"Item_1, Item_2, Item_3"
1,10,"Item_1, Item_2, Item_3"
1,11,"Item_1, Item_2, Item_3"
1,12,"Item_1, Item_2, Item_3"
1,13,"Item_1, Item_2, Item_3"
1,14,"Item_1, Item_2, Item_3"
1,15,"Item_1, Item_2, Item_3"
1,16,"Item_1, Item_2, Item_3"
2,1,"Item_3, Item_21"
2,2,"Item_4, Item_6"
2,3,"Item_4, Item_6"
2,4,"Item_4, Item_6"
2,5,"Item_4, Item_6"
2,6,"Item_4, Item_6"
2,7,"Item_4, Item_6"
2,8,"Item_4, Item_6"
2,9,"Item_4, Item_6"
2,10,"Item_4, Item_6"
2,11,"Item_4, Item_6"
2,12,"Item_4, Item_6"
2,13,"Item_4, Item_6"
2,14,"Item_4, Item_6"
2,15,"Item_4, Item_6"
2,16,"Item_4, Item_6"
3,1,"Item_16, Item_29, Item_32"
3,2,"Item_30, Item_39, Item_40"
3,3,"Item_30, Item_39, Item_40"
3,4,"Item_30, Item_39, Item_40"
3,5,"Item_30, Item_39, Item_40"
3,6,"Item_30, Item_39, Item_40"
3,7,"Item_30, Item_39, Item_40"
3,8,"Item_30, Item_39, Item_40"
3,9,"Item_30, Item_39, Item_40"
3,10,"Item_30, Item_39, Item_40"
3,11,"Item_30, Item_39, Item_40"
3,12,"Item_30, Item_39, Item_40"
3,13,"Item_30, Item_39, Item_40"
3,14,"Item_30, Item_39, Item_40"
3,15,"Item_30, Item_39, Item_40"
3,16,"Item_30, Item_39, Item_40"
4,1,"Item_30, Item_33"
4,2,"Item_7, Item_38"
4,3,"Item_7, Item_38"
4,4,"Item_7, Item_38"
4,5,"Item_7, Item_38"
4,6,"Item_7, Item_38"
4,7,"Item_7, Item_38"
4,8,"Item_7, Item_38"
4,9,"Item_7, Item_38"
4,10,"Item_7, Item_38"
4,11,"Item_7, Item_38"
4,12,"Item_7, Item_38"
4,13,"Item_7, Item_38"
4,14,"Item_7, Item_38"
4,15,"Item_7, Item_38"
4,16,"Item_7, Item_38"
5,1,"Item_1, Item_2, Item_5, Item_34, Item_35, Item_36"
5,2,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,3,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,4,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,5,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,6,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,7,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,8,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,9,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,10,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,11,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,12,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,13,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,14,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,15,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
5,16,"Item_32, Item_33, Item_34, Item_35, Item_36, Item_37"
6,1,"Item_4, Item_6, Item_7, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_17, Item_18, Item_19, Item_20, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_39, Item_40"
6,2,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,3,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,4,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,5,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,6,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,7,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,8,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,9,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,10,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,11,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,12,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,13,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,14,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,15,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
6,16,"Item_5, Item_8, Item_9, Item_10, Item_11, Item_12, Item_13, Item_14, Item_15, Item_16, Item_17, Item_18, Item_19, Item_20, Item_21, Item_22, Item_23, Item_24, Item_25, Item_26, Item_27, Item_28, Item_29, Item_31"
